Sample in Buffer,Sample in Window,TRIGGER,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_payload[31:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_payload[15:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_token[9:0],top_i/DataPath_xN_0/U0/coreArea_2_core/stateGen_4/status_layerCnt[4:0],top_i/DataPath_xN_0/U0/coreArea_2_core/axi/int_bus_payload_tuser[5:0],top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_normOut_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/io_toBeNorm_valid,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/isAttnLn,top_i/DataPath_xN_0/U0/coreArea_2_core/ln/rmsNorm/rsqrtIn_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX
208,208,0,3abfdf19,9c4a,98a6,000,00,11,0,0,0,0
209,209,0,3abfdf19,9c4a,98a6,000,00,11,0,0,0,0
210,210,0,3ac01baf,9c4a,98a6,000,00,11,0,0,0,0
211,211,0,3ac01baf,9c4a,22f3,000,00,11,0,0,0,0
212,212,0,3ac01baf,9c4a,a528,000,00,11,0,1,0,0
213,213,0,3ac01baf,9c4a,9c7f,000,00,11,0,0,0,0
214,214,0,3ac01baf,9c4a,a32e,000,00,11,0,0,0,0
215,215,0,3ac01baf,9c4a,22f3,000,00,11,0,0,0,0
216,216,0,3ac01baf,9c4a,22f3,000,00,11,0,0,0,0
217,217,0,3ac01baf,9c4a,22f3,000,00,11,0,0,0,0
218,218,0,3ac01baf,9c4a,22f3,000,00,11,0,0,0,0
219,219,0,3ac01c8e,9c4a,1ffe,000,00,11,0,0,0,0
220,220,0,3ac01c8e,9c4a,a14b,000,00,11,0,1,0,0
221,221,0,3ac01c8e,9c4a,1dd5,000,00,11,0,0,0,0
222,222,0,3ac01c8e,9c4a,1f81,000,00,11,0,0,0,0
223,223,0,3ac01c8e,9c4a,1ffe,000,00,11,0,0,0,0
224,224,0,3ac01c8e,9c4a,1ffe,000,00,11,0,0,0,0
225,225,0,3ac01c8e,9c4a,1ffe,000,00,11,0,0,0,0
226,226,0,3ac01c8e,9c4a,1ffe,000,00,11,0,0,0,0
227,227,0,3ac0219c,9c4a,a0c5,000,00,11,0,0,0,0
228,228,0,3ac0219c,9c4a,2b24,000,00,11,0,1,0,0
229,229,0,3ac0219c,9c4a,a136,000,00,11,0,0,0,0
230,230,0,3ac0219c,9c4a,2c40,000,00,11,0,0,0,0
231,231,0,3ac0219c,9c4a,a0c5,000,00,11,0,0,0,0
232,232,0,3ac0219c,9c4a,a0c5,000,00,11,0,0,0,0
233,233,0,3ac0219c,9c4a,a0c5,000,00,11,0,0,0,0
